站名,地址,營業時間,目前狀態,緯度,經度,gx_media_links
大鳥摩哆站,台中市西屯區朝馬路203-6號(近虹陽橋),24HR,已啟用,24.173656,120.623109,https://cdn.gogoro.com/resources/images/gostations/TW4075501A_01.jpg
奇美實業站,台南市仁德區三甲里59-1號(奇美實業機車停車場出入口),24HR,已啟用,22.927446,120.243088,https://cdn.gogoro.com/resources/images/gostations/TW7174501A_01.jpg
家樂福三民店站,台北市松山區三民路160號(二樓機車停車場)(近民權國小),08:00 ~ 22:00,已啟用,25.061716,121.563271,https://cdn.gogoro.com/resources/images/gostations/TW1059201A_01.jpg
家樂福中原店站,桃園市中壢區中華路二段501號(地下二樓機車停車場)(近桃園中壢區戶政事務本所),24HR,已啟用,24.962393,121.231466,https://cdn.gogoro.com/resources/images/gostations/TW3206801A_01.jpg
家樂福中正店站,台南市永康區中正南路358號(近平面機車停車場旁),24HR,已啟用,23.032400,120.227880,https://cdn.gogoro.com/resources/images/gostations/TW7104701A_01.jpg
家樂福中華店站,台南市永康區中華二路350號(近三商巧福斜對面),24HR,已啟用,23.008537,120.230385,https://cdn.gogoro.com/resources/images/gostations/TW7107901A_01.jpg
家樂福五甲店站,高雄市鳳山區林森路291號(文豐街13巷入口旁),24HR,已啟用,22.597134,120.336313,https://cdn.gogoro.com/resources/images/gostations/TW8309101A_01.jpg
家樂福仁德店站,台南市仁德區中山路711號(近大魯閣打擊練習場),24HR,已啟用,22.972420,120.247310,https://cdn.gogoro.com/resources/images/gostations/TW7174201A_01.jpg
家樂福便利購台中南屯店站,台中市南屯區南屯路二段270之1號(近南屯路二段/田心北二巷),24HR,已啟用,24.137127,120.648425,https://cdn.gogoro.com/resources/images/gostations/TW4085701A_01.jpg
家樂福便利購員林大同店站,彰化縣員林市大同路一段455號(近大同路一段/明德街交岔口),24HR,已啟用,23.965556,120.579044,https://cdn.gogoro.com/resources/images/gostations/TW5105601A_01.jpg
家樂福便利購太平環中店站,台中市太平區環中東路三段567號(近新平立體停車場),24HR,已啟用,24.149201,120.715229,https://cdn.gogoro.com/resources/images/gostations/TW4118001A_01.jpg
家樂福便利購桃園南平店站,桃園市桃園區南平路168號(近南平路/新埔七街路口),24HR,已啟用,25.019651,121.301956,https://cdn.gogoro.com/resources/images/gostations/TW3307602A_01.jpg
