站名,地址,營業時間,目前狀態,緯度,經度
Diamond+專業汽車美容中心站(建置中),新北市永和區保安路23號一樓,24HR,建置中,25.016949,121.510357
中油永錡泰山站,新北市泰山區泰林路二段47號,24HR,已啟用,25.057544,121.435248
車子路加油站,新北市新店區安康路二段269號,24HR,已啟用,24.957625,121.504348
中油華城站,新北市新店區安康路一段319號,24HR,已啟用,24.963634,121.522112
中油石門加油站,新北市石門區中央路1之15號,24HR,已啟用,25.291241,121.561000
中油山隆林口站,新北市林口區文化二路二段553號,24HR,已啟用,25.090349,121.383464
中油五城站,新北市新店區安康路三段800號,24HR,已啟用,24.939901,121.470723
德志茶園站,新北市坪林區北宜路8段239號,24HR,已啟用,24.935095,121.709245
Gogoro 永和中正店站,新北市永和區中正路236 號,24HR,已啟用,24.998068,121.516220
中油永錡保安站,新北市樹林區大安路179號,24HR,已啟用,24.996052,121.421228
台北捷運府中站(建置中),新北市板橋區縣民大道1段193號,24HR,建置中,25.008555,121.459183
台亞新店中興路站(建置中),新北市新店區中興路三段131號,24HR,建置中,24.979079,121.544453
中油北基中和站,新北市中和區中山路3段53號,24HR,已啟用,25.005568,121.476775
中油永錡彭厝站,新北市樹林區八德街395號,24HR,已啟用,24.971858,121.415660
雅香茶莊站,新北市石碇區北宜路6段13股巷1號,24HR,已啟用,24.947447,121.649224
中油山隆鶯歌站,新北市鶯歌區永和二街28號,24HR,已啟用,24.971661,121.336631
台北捷運永寧站(建置中),新北市土城區中央路3段105號,24HR,建置中,24.966756,121.436498
林長站,新北市瑞芳區瑞濱路32之6號,24HR,已啟用,25.121147,121.823512
中油新樹站,新北市新莊區中正路501號,24HR,已啟用,25.033360,121.440665
車太炫汐止站,新北市汐止區汐萬路一段39-5號(大同路中油伯爵站旁),24HR,已啟用,25.069442,121.654544
中油北基新海站,新北市板橋區新海路137號,24HR,已啟用,25.023513,121.460444
台北捷運淡水站(建置中),新北市淡水區中正路1號,24HR,建置中,25.167843,121.445578
中油勝利重新站,新北市三重區重新路五段 628 號,24HR,已啟用,25.044862,121.469163
中油昇泉加油站,新北市深坑區北深路三段7號,24HR,已啟用,25.000924,121.610442
台塑東林站,新北市鶯歌區中正一路461之5號,24HR,已啟用,24.956807,121.364302
Airport 淡水站(建置中),新北市淡水區中山路71號,24HR,建置中,25.170641,121.442860
中油欣欣加油站,新北市新店區安和路三段35號,24HR,已啟用,24.981008,121.517088
中油北基幸運站,新北市新莊區新樹路140-1號,24HR,已啟用,25.023053,121.435140
